State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Uttar Pradesh","Khiri (Lakhimpur)",Maigalganj,Wheat,Dara,FAQ,13/08/2025,2540,2600,2580
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,Apple,Delicious,Medium,13/08/2025,7000,7200,7100
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,"Bitter gourd","Bitter Gourd",FAQ,13/08/2025,1000,1200,1100
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,Onion,Red,FAQ,13/08/2025,1200,1300,1250
Uttrakhand,Dehradoon,Vikasnagar,Brinjal,Other,FAQ,13/08/2025,800,800,800
Uttrakhand,Dehradoon,Vikasnagar,Onion,Other,Non-FAQ,13/08/2025,900,1200,1200
Uttrakhand,Dehradoon,Vikasnagar,Tomato,Other,Non-FAQ,13/08/2025,700,1200,1200
Haryana,Gurgaon,Gurgaon,Apple,Other,Large,13/08/2025,8000,10000,9000
Haryana,Gurgaon,Gurgaon,Potato,Other,FAQ,13/08/2025,1000,1400,1200
Haryana,Rewari,Kosli,Potato,Other,FAQ,13/08/2025,1000,1000,1000
Kerala,Alappuzha,Harippad,Amaranthus,Other,FAQ,13/08/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,Banana,"Nendra Bale",Medium,13/08/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,"Banana - Green",Other,FAQ,13/08/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,Capsicum,Other,FAQ,13/08/2025,8000,8700,8000
Kerala,Alappuzha,Harippad,Carrot,Other,FAQ,13/08/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,Colacasia,Other,FAQ,13/08/2025,8500,9000,8500
Kerala,Alappuzha,Harippad,Ginger(Green),Other,FAQ,13/08/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,Onion,Other,FAQ,13/08/2025,5000,5500,5000
