State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Punjab,Gurdaspur,Kalanaur,"Bottle gourd","Bottle Gourd",FAQ,13/08/2025,700,950,800
Punjab,Gurdaspur,Kalanaur,Pumpkin,Other,FAQ,13/08/2025,600,600,600
Punjab,Ludhiana,Sahnewal,Brinjal,Brinjal,FAQ,13/08/2025,2000,2000,2000
Punjab,Ludhiana,Sahnewal,"Round gourd","Round gourd",FAQ,13/08/2025,2000,2000,2000
Punjab,Ludhiana,Sahnewal,Tomato,Tomato,FAQ,13/08/2025,5500,5500,5500
Rajasthan,Ganganagar,"Sriganganagar (F&V)","Bhindi(Ladies Finger)",Other,FAQ,13/08/2025,2300,2700,2500
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Cucumbar(Kheera),Other,FAQ,13/08/2025,1400,1800,1600
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Mango,Other,Medium,13/08/2025,4800,5200,5000
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Pomegranate,Other,Medium,13/08/2025,12300,12700,12500
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Pumpkin,Other,FAQ,13/08/2025,2500,2900,2700
Rajasthan,Ganganagar,"Sriganganagar (F&V)","Sponge gourd","Sponge gourd",FAQ,13/08/2025,3200,3600,3400
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Tinda,Other,FAQ,13/08/2025,2400,2800,2600
Tripura,"North Tripura",Dasda,Potato,Local,FAQ,13/08/2025,1800,2000,1900
"Uttar Pradesh",Badaun,Babrala,Wheat,Dara,Non-FAQ,13/08/2025,2580,2600,2590
"Uttar Pradesh",Bulandshahar,Gulavati,Ginger(Green),"Green Ginger",FAQ,13/08/2025,6100,6300,6200
"Uttar Pradesh",Hathras,Shadabad,Onion,Red,FAQ,13/08/2025,1200,1300,1250
"Uttar Pradesh","Khiri (Lakhimpur)",Maigalganj,"Bottle gourd","Bottle Gourd",FAQ,13/08/2025,1650,1700,1675
"Uttar Pradesh","Khiri (Lakhimpur)",Maigalganj,"Green Chilli","Green Chilly",FAQ,13/08/2025,6100,6150,6125
"Uttar Pradesh","Khiri (Lakhimpur)",Maigalganj,Onion,Red,FAQ,13/08/2025,1900,1950,1925
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,"Green Chilli","Green Chilly",FAQ,13/08/2025,2000,2100,2050
"Uttar Pradesh",Meerut,Sardhana,Onion,Red,FAQ,13/08/2025,1200,1300,1250
"Uttar Pradesh",Meerut,Sardhana,Onion,Red,Non-FAQ,13/08/2025,1200,1300,1250
Uttrakhand,Dehradoon,Vikasnagar,"Bhindi(Ladies Finger)",Other,FAQ,13/08/2025,900,1500,1500
Gujarat,Bharuch,Ankleshwar,Cabbage,Cabbage,FAQ,13/08/2025,1000,2000,1500
Gujarat,Bharuch,Ankleshwar,Cauliflower,Cauliflower,FAQ,13/08/2025,2000,3000,2500
Haryana,Gurgaon,Gurgaon,Banana,Other,Large,13/08/2025,2000,3000,2500
Haryana,Gurgaon,Gurgaon,"Bhindi(Ladies Finger)",Other,FAQ,13/08/2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,"Bottle gourd","Bottle Gourd",FAQ,13/08/2025,1000,1400,1200
Haryana,Gurgaon,Gurgaon,Cauliflower,Other,FAQ,13/08/2025,1000,3000,2000
Haryana,Gurgaon,Gurgaon,Pomegranate,Other,Large,13/08/2025,5000,10000,7500
Haryana,Rewari,Kosli,Brinjal,Other,FAQ,13/08/2025,1000,1000,1000
Kerala,Alappuzha,Harippad,Cabbage,Other,FAQ,13/08/2025,4000,4500,4000
Kerala,Alappuzha,Harippad,"Green Chilli",Other,FAQ,13/08/2025,4000,4500,4000
Kerala,Kollam,Sasthamkotta,"Bhindi(Ladies Finger)",Other,FAQ,13/08/2025,5000,5500,5200
Kerala,Kollam,Sasthamkotta,"Bitter gourd","Bitter Gourd",FAQ,13/08/2025,7000,7500,7200
Kerala,Kollam,Sasthamkotta,Brinjal,Other,FAQ,13/08/2025,4000,4500,4200
Kerala,Kollam,Sasthamkotta,Cucumbar(Kheera),Other,FAQ,13/08/2025,4000,4500,4200
Kerala,Kollam,Sasthamkotta,Yam,Other,FAQ,13/08/2025,5000,5500,5200
Kerala,Kottayam,Pampady,Amaranthus,Amaranthus,FAQ,13/08/2025,3000,4500,4000
Kerala,Kottayam,Pampady,"Bitter gourd","Bitter Gourd",FAQ,13/08/2025,4000,4500,4200
Kerala,Kottayam,Pampady,Cauliflower,Other,FAQ,13/08/2025,4000,5500,5000
Kerala,Kottayam,Pampady,Cowpea(Veg),Other,FAQ,13/08/2025,7000,8500,8000
Kerala,Kottayam,Pampady,Ginger(Green),"Green Ginger",FAQ,13/08/2025,12500,15000,14500
Kerala,Kottayam,Pampady,Pumpkin,Pumpkin,FAQ,13/08/2025,2200,3700,3000
Kerala,Kozhikode(Calicut),Mukkom,"Banana - Green","Banana - Green",FAQ,13/08/2025,3800,4200,4000
Kerala,Kozhikode(Calicut),Mukkom,Brinjal,Brinjal,FAQ,13/08/2025,3400,3700,3500
Kerala,Kozhikode(Calicut),Mukkom,Drumstick,Drumstick,FAQ,13/08/2025,3000,3400,3200
Kerala,Kozhikode(Calicut),Mukkom,Grapes,Other,Large,13/08/2025,10500,11500,11000
Kerala,Kozhikode(Calicut),Mukkom,Potato,Other,FAQ,13/08/2025,2300,2600,2400
Kerala,Pathanamthitta,"Erath  VFPCK",Ashgourd,Ashgourd,FAQ,13/08/2025,1000,1200,1100
Kerala,Thiruvananthapuram,Parassala,Banana,"Red Banana",Medium,13/08/2025,6000,6500,6000
Kerala,Thiruvananthapuram,Parassala,Beans,"Beans (Whole)",FAQ,13/08/2025,6000,6200,6000
Kerala,Thiruvananthapuram,Parassala,Carrot,Carrot,FAQ,13/08/2025,4000,4200,4000
Punjab,Gurdaspur,Kalanaur,Brinjal,Other,FAQ,13/08/2025,2000,2000,2000
Punjab,Gurdaspur,Kalanaur,"Green Chilli","Green Chilly",FAQ,13/08/2025,5000,5000,5000
Punjab,Hoshiarpur,"Tanda Urmur","Bhindi(Ladies Finger)",Other,FAQ,13/08/2025,4000,5000,4500
Punjab,Hoshiarpur,"Tanda Urmur",Brinjal,Other,FAQ,13/08/2025,2000,2500,2200
Punjab,Hoshiarpur,"Tanda Urmur",Capsicum,Other,FAQ,13/08/2025,6000,7000,6500
